date,CDD_t,HDD_t
2024-01-01,0.0,15.75
2024-01-02,0.0,21.75
2024-01-03,0.0,20.0
2024-01-04,0.0,18.75
2024-01-05,0.0,15.0
2024-01-06,0.0,19.0
2024-01-07,0.0,18.25
2024-01-08,0.0,9.75
2024-01-09,0.0,20.0
2024-01-10,0.0,18.25
2024-01-11,0.0,10.5
2024-01-12,0.0,11.75
2024-01-13,0.0,20.75
2024-01-14,0.0,33.25
2024-01-15,0.0,43.5
2024-01-16,0.0,43.25
2024-01-17,0.0,36.25
2024-01-18,0.0,17.5
2024-01-19,0.0,21.25
2024-01-20,0.0,33.0
2024-01-21,0.0,28.25
2024-01-22,0.0,21.5
2024-01-23,0.0,11.25
2024-01-24,0.0,10.25
2024-01-25,0.0,10.5
2024-01-26,0.0,11.75
2024-01-27,0.0,12.75
2024-01-28,0.0,16.25
2024-01-29,0.0,13.0
2024-01-30,0.0,9.0
2024-01-31,0.0,8.25
2024-02-01,0.0,6.0
2024-02-02,0.0,3.5
2024-02-03,0.0,6.0
2024-02-04,0.0,8.5
2024-02-05,0.0,10.75
2024-02-06,0.0,11.75
2024-02-07,0.0,9.0
2024-02-08,0.0,3.5
2024-02-09,0.0,2.5
2024-02-10,0.0,2.25
2024-02-11,0.0,7.25
2024-02-12,0.0,18.25
2024-02-13,0.0,15.5
2024-02-14,0.0,11.75
2024-02-15,0.0,5.25
2024-02-16,0.0,3.0
2024-02-17,0.0,19.25
2024-02-18,0.0,24.75
2024-02-19,0.0,15.75
2024-02-20,0.0,6.25
2024-02-21,1.25,0.0
2024-02-22,3.25,0.0
2024-02-23,0.0,2.0
2024-02-24,0.0,3.25
2024-02-25,1.25,0.0
2024-02-26,5.75,0.0
2024-02-27,7.5,0.0
2024-02-28,0.0,4.25
2024-02-29,0.0,18.5
2024-03-01,0.0,12.5
2024-03-02,0.0,2.75
2024-03-03,2.75,0.0
2024-03-04,5.25,0.0
2024-03-05,5.5,0.0
2024-03-06,1.25,0.0
2024-03-07,3.5,0.0
2024-03-08,1.0,0.0
2024-03-09,0.0,12.75
2024-03-10,0.0,12.5
2024-03-11,0.0,6.75
2024-03-12,0.0,1.5
2024-03-13,5.25,0.0
2024-03-14,7.0,0.0
2024-03-15,2.0,0.0
2024-03-16,0.0,4.75
2024-03-17,0.0,3.25
2024-03-18,0.0,7.5
2024-03-19,0.0,11.0
2024-03-20,0.0,6.0
2024-03-21,0.0,3.0
2024-03-22,0.0,2.5
2024-03-23,0.0,3.0
2024-03-24,0.0,0.75
2024-03-25,0.0,0.0
2024-03-26,0.0,10.0
2024-03-27,0.0,9.25
2024-03-28,0.0,6.5
2024-03-29,1.75,0.0
2024-03-30,3.75,0.0
2024-03-31,6.25,0.0
2024-04-01,8.75,0.0
2024-04-02,1.75,0.0
2024-04-03,0.0,4.0
2024-04-04,1.25,0.0
2024-04-05,5.75,0.0
2024-04-06,5.5,0.0
2024-04-07,4.75,0.0
2024-04-08,4.75,0.0
2024-04-09,4.25,0.0
2024-04-10,0.0,1.5
2024-04-11,0.0,1.5
2024-04-12,2.0,0.0
2024-04-13,5.5,0.0
2024-04-14,8.75,0.0
2024-04-15,10.25,0.0
2024-04-16,10.0,0.0
2024-04-17,10.5,0.0
2024-04-18,11.75,0.0
2024-04-19,3.75,0.0
2024-04-20,0.0,0.75
2024-04-21,0.0,8.75
2024-04-22,0.0,4.75
2024-04-23,1.5,0.0
2024-04-24,8.25,0.0
2024-04-25,9.75,0.0
2024-04-26,10.5,0.0
2024-04-27,11.25,0.0
2024-04-28,8.5,0.0
2024-04-29,8.5,0.0
2024-04-30,10.25,0.0
2024-05-01,11.75,0.0
2024-05-02,10.0,0.0
2024-05-03,10.25,0.0
2024-05-04,8.5,0.0
2024-05-05,6.5,0.0
2024-05-06,11.75,0.0
2024-05-07,14.5,0.0
2024-05-08,16.5,0.0
2024-05-09,14.5,0.0
2024-05-10,9.75,0.0
2024-05-11,8.0,0.0
2024-05-12,5.5,0.0
2024-05-13,8.75,0.0
2024-05-14,9.75,0.0
2024-05-15,13.75,0.0
2024-05-16,11.25,0.0
2024-05-17,4.5,0.0
2024-05-18,12.75,0.0
2024-05-19,17.5,0.0
2024-05-20,17.75,0.0
2024-05-21,18.75,0.0
2024-05-22,17.25,0.0
2024-05-23,16.75,0.0
2024-05-24,18.0,0.0
2024-05-25,18.25,0.0
2024-05-26,20.5,0.0
2024-05-27,20.0,0.0
2024-05-28,17.25,0.0
2024-05-29,11.75,0.0
2024-05-30,15.25,0.0
2024-05-31,10.0,0.0
2024-06-01,12.75,0.0
2024-06-02,16.25,0.0
2024-06-03,18.0,0.0
2024-06-04,21.0,0.0
2024-06-05,18.25,0.0
2024-06-06,18.5,0.0
2024-06-07,21.5,0.0
2024-06-08,21.25,0.0
2024-06-09,20.5,0.0
2024-06-10,15.5,0.0
2024-06-11,15.25,0.0
2024-06-12,15.0,0.0
2024-06-13,18.75,0.0
2024-06-14,20.75,0.0
2024-06-15,20.5,0.0
2024-06-16,20.5,0.0
2024-06-17,21.0,0.0
2024-06-18,19.0,0.0
2024-06-19,15.75,0.0
2024-06-20,14.5,0.0
2024-06-21,16.5,0.0
2024-06-22,18.25,0.0
2024-06-23,19.5,0.0
2024-06-24,21.5,0.0
2024-06-25,22.25,0.0
2024-06-26,23.5,0.0
2024-06-27,23.25,0.0
2024-06-28,23.25,0.0
2024-06-29,23.75,0.0
2024-06-30,22.75,0.0
2024-07-01,23.5,0.0
2024-07-02,24.0,0.0
2024-07-03,23.75,0.0
2024-07-04,23.75,0.0
2024-07-05,19.75,0.0
2024-07-06,18.5,0.0
2024-07-07,17.75,0.0
2024-07-08,15.0,0.0
2024-07-09,15.75,0.0
2024-07-10,19.0,0.0
2024-07-11,18.66666666666667,0.0
2024-07-12,17.66666666666667,0.0
2024-07-13,16.0,0.0
2024-07-14,18.0,0.0
2024-07-15,24.0,0.0
2024-07-16,22.25,0.0
2024-07-17,21.5,0.0
2024-07-18,17.25,0.0
2024-07-19,18.0,0.0
2024-07-20,19.0,0.0
2024-07-21,17.0,0.0
2024-07-22,14.0,0.0
2024-07-23,11.5,0.0
2024-07-24,14.5,0.0
2024-07-25,16.0,0.0
2024-07-26,14.25,0.0
2024-07-27,15.25,0.0
2024-07-28,16.0,0.0
2024-07-29,19.5,0.0
2024-07-30,20.75,0.0
2024-07-31,22.0,0.0
2024-08-01,21.5,0.0
2024-08-02,22.25,0.0
2024-08-03,23.5,0.0
2024-08-04,21.0,0.0
2024-08-05,20.75,0.0
2024-08-06,22.25,0.0
2024-08-07,24.75,0.0
2024-08-08,25.5,0.0
2024-08-09,23.5,0.0
2024-08-10,21.25,0.0
2024-08-11,22.5,0.0
2024-08-12,22.75,0.0
2024-08-13,22.75,0.0
2024-08-14,23.25,0.0
2024-08-15,23.75,0.0
2024-08-16,24.75,0.0
2024-08-17,24.75,0.0
2024-08-18,24.5,0.0
2024-08-19,25.25,0.0
