date,zone,station_id,datatype,value
2024-01-01,HOUSTON,GHCND:USW00012960,TMIN,47.0
2024-01-02,HOUSTON,GHCND:USW00012960,TMIN,40.0
2024-01-03,HOUSTON,GHCND:USW00012960,TMIN,43.0
2024-01-04,HOUSTON,GHCND:USW00012960,TMIN,38.0
2024-01-05,HOUSTON,GHCND:USW00012960,TMIN,43.0
2024-01-06,HOUSTON,GHCND:USW00012960,TMIN,40.0
2024-01-07,HOUSTON,GHCND:USW00012960,TMIN,38.0
2024-01-08,HOUSTON,GHCND:USW00012960,TMIN,50.0
2024-01-09,HOUSTON,GHCND:USW00012960,TMIN,40.0
2024-01-10,HOUSTON,GHCND:USW00012960,TMIN,33.0
2024-01-11,HOUSTON,GHCND:USW00012960,TMIN,47.0
2024-01-12,HOUSTON,GHCND:USW00012960,TMIN,35.0
2024-01-13,HOUSTON,GHCND:USW00012960,TMIN,32.0
2024-01-14,HOUSTON,GHCND:USW00012960,TMIN,33.0
2024-01-15,HOUSTON,GHCND:USW00012960,TMIN,25.0
2024-01-16,HOUSTON,GHCND:USW00012960,TMIN,18.0
2024-01-17,HOUSTON,GHCND:USW00012960,TMIN,20.0
2024-01-18,HOUSTON,GHCND:USW00012960,TMIN,40.0
2024-01-19,HOUSTON,GHCND:USW00012960,TMIN,36.0
2024-01-20,HOUSTON,GHCND:USW00012960,TMIN,29.0
2024-01-21,HOUSTON,GHCND:USW00012960,TMIN,36.0
2024-01-22,HOUSTON,GHCND:USW00012960,TMIN,42.0
2024-01-23,HOUSTON,GHCND:USW00012960,TMIN,62.0
2024-01-24,HOUSTON,GHCND:USW00012960,TMIN,61.0
2024-01-25,HOUSTON,GHCND:USW00012960,TMIN,52.0
2024-01-26,HOUSTON,GHCND:USW00012960,TMIN,53.0
2024-01-27,HOUSTON,GHCND:USW00012960,TMIN,47.0
2024-01-28,HOUSTON,GHCND:USW00012960,TMIN,42.0
2024-01-29,HOUSTON,GHCND:USW00012960,TMIN,37.0
2024-01-30,HOUSTON,GHCND:USW00012960,TMIN,46.0
2024-01-31,HOUSTON,GHCND:USW00012960,TMIN,46.0
2024-02-01,HOUSTON,GHCND:USW00012960,TMIN,47.0
2024-02-02,HOUSTON,GHCND:USW00012960,TMIN,51.0
2024-02-03,HOUSTON,GHCND:USW00012960,TMIN,52.0
2024-02-04,HOUSTON,GHCND:USW00012960,TMIN,51.0
2024-02-05,HOUSTON,GHCND:USW00012960,TMIN,52.0
2024-02-06,HOUSTON,GHCND:USW00012960,TMIN,46.0
2024-02-07,HOUSTON,GHCND:USW00012960,TMIN,43.0
2024-02-08,HOUSTON,GHCND:USW00012960,TMIN,61.0
2024-02-09,HOUSTON,GHCND:USW00012960,TMIN,64.0
2024-02-10,HOUSTON,GHCND:USW00012960,TMIN,66.0
