OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
09/09/2024,01:00,13322.77,11273.60,8428.47,11879.16,44904.00,N
09/09/2024,02:00,12547.69,10471.76,8334.19,11352.85,42706.50,N
09/09/2024,03:00,12108.42,10079.29,8245.19,11017.30,41450.20,N
09/09/2024,04:00,11874.41,10086.91,8161.23,10847.20,40969.75,N
09/09/2024,05:00,11961.20,10086.52,8090.18,10879.07,41016.97,N
09/09/2024,06:00,12524.36,10422.48,8112.42,11187.70,42246.97,N
09/09/2024,07:00,13594.76,11082.23,8065.40,11647.99,44390.39,N
09/09/2024,08:00,13814.73,11198.49,7802.71,11700.09,44516.03,N
09/09/2024,09:00,14672.29,11292.66,8446.47,12077.77,46489.19,N
09/09/2024,10:00,15439.75,11667.89,9024.98,12932.16,49064.79,N
09/09/2024,11:00,15623.04,12100.31,9192.63,13395.99,50311.96,N
09/09/2024,12:00,16215.06,12561.55,8998.28,13972.67,51747.56,N
09/09/2024,13:00,17024.94,13338.00,8840.84,14940.71,54144.49,N
09/09/2024,14:00,18034.36,14069.02,8949.14,15817.43,56869.95,N
09/09/2024,15:00,19057.50,14693.19,9078.77,16602.06,59431.52,N
09/09/2024,16:00,20039.69,15454.13,9228.95,17360.46,62083.22,N
09/09/2024,17:00,20989.33,16178.44,9331.62,17789.50,64288.89,N
09/09/2024,18:00,21426.89,16545.71,9370.07,17640.90,64983.57,N
09/09/2024,19:00,21104.45,16450.48,9211.51,17163.61,63930.05,N
09/09/2024,20:00,19907.51,16041.86,8538.40,16590.18,61077.94,N
09/09/2024,21:00,18889.30,15765.68,8338.52,16324.41,59317.91,N
09/09/2024,22:00,17826.61,15080.71,8499.11,15635.54,57041.98,N
09/09/2024,23:00,16258.50,14013.78,8409.68,14676.64,53358.60,N
09/09/2024,24:00,14811.17,13024.96,8356.75,13735.21,49928.08,N
